problem,seed,generation,fes,volume,constraint_size,best_x
QuickSimu1,2026,1,50,0.00242815288,0.048200380125682896,"[0.7359900930350713, 0.012290286473784075, 0.01587365722738836]"
QuickSimu1,2026,2,95,0.00242815288,0.048200380125682896,"[0.7359900930350713, 0.012290286473784075, 0.01587365722738836]"
QuickSimu1,2026,3,140,0.00163746723,0.08812449945025444,"[0.5036684964114496, 0.01, 0.012727668220271784]"
QuickSimu1,2026,4,185,0.00163746723,0.08812449945025444,"[0.5036684964114496, 0.01, 0.012727668220271784]"
QuickSimu1,2026,5,236,0.001405,0.1918458280602029,"[0.4, 0.01, 0.01]"
QuickSimu1,2026,6,281,0.00138636711,0.14758208526570205,"[0.7726578202732677, 0.01, 0.01]"
QuickSimu1,2026,7,326,0.00138636711,0.14758208526570205,"[0.7726578202732677, 0.01, 0.01]"
QuickSimu1,2026,8,371,0.00137459282,0.11640642341923461,"[1.0571683679235029, 0.01, 0.010037533026396083]"
QuickSimu1,2026,9,416,0.00137459282,0.11640642341923461,"[1.0571683679235029, 0.01, 0.010037533026396083]"
QuickSimu1,2026,10,466,0.00137459282,0.11640642341923461,"[1.0571683679235029, 0.01, 0.010037533026396083]"
QuickSimu1,2026,11,511,0.00137364861,0.10890557443628741,"[1.0501869439403477, 0.01, 0.010017654428798407]"
QuickSimu1,2026,12,556,0.00137218861,0.1658391688019496,"[1.0569698009647641, 0.0100001795807938, 0.01]"
QuickSimu1,2026,13,601,0.00137044473,0.16503733006807142,"[1.0911053385743201, 0.01, 0.01]"
QuickSimu1,2026,14,650,0.00137044473,0.16503733006807142,"[1.0911053385743201, 0.01, 0.01]"
QuickSimu1,2026,15,699,0.00137044473,0.16503733006807142,"[1.0911053385743201, 0.01, 0.01]"
QuickSimu1,2026,16,748,0.00137044473,0.16503733006807142,"[1.0911053385743201, 0.01, 0.01]"
QuickSimu1,2026,17,796,0.00136499212,0.1674445748100577,"[1.2001575339981645, 0.01, 0.01]"
QuickSimu1,2026,18,845,0.00136399091,0.16641046609099247,"[1.2201817009856408, 0.01, 0.01]"
QuickSimu1,2026,19,895,0.00136188136,0.17158201740314227,"[1.2623728726268595, 0.01, 0.01]"
QuickSimu1,2026,20,943,0.00135343999,0.18320384954847707,"[1.4312695222791154, 0.01000001589905092, 0.01]"
QuickSimu1,2026,21,993,0.00135235916,0.18848379070473192,"[1.4528211361473047, 0.010000000982024622, 0.01]"
QuickSimu1,2026,22,1043,0.00134535415,0.19302504868746662,"[1.5929170961159111, 0.01, 0.01]"
QuickSimu1,2026,23,1093,0.00134521925,0.1892218894354205,"[1.595614925058964, 0.01, 0.01]"
QuickSimu1,2026,24,1142,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2026,25,1191,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2026,26,1240,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2026,27,1288,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2026,28,1335,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2026,29,1379,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2026,30,1423,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
