problem,seed,model,target,mae,rmse,r2,n_train,n_test
quick_simu_1,2026,kriging,volume,1.2364873098603926e-05,2.2068374919513566e-05,0.9999977266444404,1200,300
quick_simu_1,2026,kriging,max_disp,0.009251410663313519,0.016866957301763418,0.6848802763414221,1200,300
quick_simu_1,2026,rbf,volume,8.833145298743609e-05,0.00015267120485903978,0.9998911969863197,1200,300
quick_simu_1,2026,rbf,max_disp,0.007113209472932538,0.011838640457393138,0.8447592407400824,1200,300
quick_simu_1,2026,polynomial,volume,0.0003815913619753065,0.0005369148923621235,0.9986543331338177,1200,300
quick_simu_1,2026,polynomial,max_disp,0.011962796286724474,0.01572017967285504,0.7262733345528232,1200,300
quick_simu_1,2026,mlp64,volume,0.002708961286740754,0.0034485223913674166,0.9444872477925323,1200,300
quick_simu_1,2026,mlp64,max_disp,0.00895081482407666,0.011463889797633704,0.8544319377163532,1200,300
quick_simu_1,2026,kan,volume,nan,nan,nan,1200,300
quick_simu_1,2026,kan,max_disp,nan,nan,nan,1200,300
quick_simu_1,2026,kan_gp,volume,nan,nan,nan,1200,300
quick_simu_1,2026,kan_gp,max_disp,nan,nan,nan,1200,300
